date,china_exports
1960-01-01,1883060000.18685
1961-01-01,1505609999.80096
1962-01-01,1505369999.86595
1963-01-01,1666349999.93907
1964-01-01,1938860000.10561
1965-01-01,2246599999.83752
1966-01-01,2370599999.83752
1967-01-01,2155880000.0325
1968-01-01,2114699999.87814
1969-01-01,2214390000.19904
1970-01-01,2274220000.00812
1971-01-01,2710416000.18523
1972-01-01,3537210000.06236
1973-01-01,5959278999.96783
1974-01-01,7213066999.91382
1975-01-01,7974569999.94086
1976-01-01,7440600000.0
1977-01-01,8271070000.20992
1978-01-01,10801140000.0
1979-01-01,13962640000.0
1980-01-01,19405720000.0
1981-01-01,24369970000.0
1982-01-01,22600124795.0382
1983-01-01,21956304449.4253
1984-01-01,24764305080.7143
1985-01-01,25801403273.8095
1986-01-01,26202580690.4348
1987-01-01,34072853910.0897
1988-01-01,44923701330.0412
1989-01-01,41190793490.081
1990-01-01,49129758920.0765
1991-01-01,55542659163.7631
1992-01-01,66847400125.5887
1993-01-01,74280328749.7039
1994-01-01,104607445192.414
1995-01-01,131858826005.216
1996-01-01,154811877005.235
1997-01-01,187447040001.004
1998-01-01,188750394180.041
1999-01-01,198699399631.565
2000-01-01,253092089742.301
2001-01-01,272060010513.385
2002-01-01,333002310921.755
2003-01-01,447958253780.912
2004-01-01,607356934122.253
2005-01-01,773339005398.498
2006-01-01,991731387765.228
2007-01-01,1258056795935.92
2008-01-01,1497868782937.13
2009-01-01,1262664161017.28
2010-01-01,1654823329663.86
2011-01-01,2006308960976.47
2012-01-01,2175069254663.85
2013-01-01,2354264539609.2
2014-01-01,2462825804851.16
2015-01-01,2362097053274.6
2016-01-01,2199974853570.14
2017-01-01,2424216052098.35
2018-01-01,2655609176087.45
2019-01-01,2628941104657.6
2020-01-01,2729884575163.89
2021-01-01,3554107780957.44
2022-01-01,3717887818646.97
2023-01-01,3513236885527.07
