date,china_population
1960-01-01,667070000
1961-01-01,660330000
1962-01-01,665770000
1963-01-01,682335000
1964-01-01,698355000
1965-01-01,715185000
1966-01-01,735400000
1967-01-01,754550000
1968-01-01,774510000
1969-01-01,796025000
1970-01-01,818315000
1971-01-01,841105000
1972-01-01,862030000
1973-01-01,881940000
1974-01-01,900350000
1975-01-01,916395000
1976-01-01,930685000
1977-01-01,943455000
1978-01-01,956165000
1979-01-01,969005000
1980-01-01,981235000
1981-01-01,993885000
1982-01-01,1008630000
1983-01-01,1023310000
1984-01-01,1036825000
1985-01-01,1051040000
1986-01-01,1066790000
1987-01-01,1084035000
1988-01-01,1101630000
1989-01-01,1118650000
1990-01-01,1135185000
1991-01-01,1150780000
1992-01-01,1164970000
1993-01-01,1178440000
1994-01-01,1191835000
1995-01-01,1204855000
1996-01-01,1217550000
1997-01-01,1230075000
1998-01-01,1241935000
1999-01-01,1252735000
2000-01-01,1262645000
2001-01-01,1271850000
2002-01-01,1280400000
2003-01-01,1288400000
2004-01-01,1296075000
2005-01-01,1303720000
2006-01-01,1311020000
2007-01-01,1317885000
2008-01-01,1324655000
2009-01-01,1331260000
2010-01-01,1337705000
2011-01-01,1345035000
2012-01-01,1354190000
2013-01-01,1363240000
2014-01-01,1371860000
2015-01-01,1379860000
2016-01-01,1387790000
2017-01-01,1396215000
2018-01-01,1402760000
2019-01-01,1407745000
2020-01-01,1411100000
2021-01-01,1412360000
2022-01-01,1412175000
2023-01-01,1410710000
