date,US,EU,CN
1991-01-01,6.8,8.31721718313706,2.37
1992-01-01,7.5,8.9295607186825,2.37
1993-01-01,6.9,10.6900899017753,2.69
1994-01-01,6.119,11.7369455914828,2.9
1995-01-01,5.65,11.4184706063119,3.0
1996-01-01,5.451,11.6237217720969,3.12
1997-01-01,5.0,11.6419654851093,3.23
1998-01-01,4.511,11.2045752544234,3.24
1999-01-01,4.219,10.4531698266666,3.25
2000-01-01,3.992,9.47224221882325,3.26
2001-01-01,4.731,8.4187233272483,3.8
2002-01-01,5.783,8.67984727101411,4.24
2003-01-01,5.989,9.02087575338458,4.58
2004-01-01,5.529,9.29041121484406,4.49
2005-01-01,5.084,9.150301070873,4.52
2006-01-01,4.623,8.430195160078,4.43
2007-01-01,4.622,7.53799190995893,4.35
2008-01-01,5.784,7.54469445681293,4.59
2009-01-01,9.254,9.63497145563048,4.72
2010-01-01,9.633,10.1759838228201,4.53
2011-01-01,8.949,10.2620513591197,4.55
2012-01-01,8.069,11.416171061834,4.58
2013-01-01,7.375,11.9989116590454,4.6
2014-01-01,6.168,11.6282144784814,4.63
2015-01-01,5.28,10.8852194826771,4.65
2016-01-01,4.869,10.0364611752646,4.56
2017-01-01,4.355,9.07353382127944,4.47
2018-01-01,3.896,8.16092484825284,4.31
2019-01-01,3.669,7.52006174791197,4.56
2020-01-01,8.055,7.83001752658849,5.0
2021-01-01,5.349,7.72209813329502,4.55
2022-01-01,3.65,6.74901273938354,4.98
2023-01-01,3.638,6.5646094180748,4.67
2024-01-01,4.106,6.41045223631567,4.571
